codigo_produto,descricaoproduto,codigo_familia,custo_produto_unitario
240900,Luxurious Outdoor Gear Teal #819,60,35.58
242600,Luxurious Clothing Orange #520,130,9.01
243800,Stylish Audiobooks White #656,33,194.99
245800,Delicious Bedding White #541,74,24.73
255200,Luxurious Construction Equipment Black #88,DFM,4.65
255400,Delicious Construction Equipment Cyan #879,DFM,9.08
268600,Durable Outdoor Gear Teal #977,60,12.25
269800,Useful Outdoor Gear Red #450,60,4.98
275800,Comfortable Furniture Silver #793,67,0.32
275900,Sustainable Furniture Silver #352,67,0.56
293000,Fun Mens Watches Black #388,69,0.12
332800,Durable Clothing Purple #265,130,54.32
347100,Beautiful Clothing Purple #71,130,7.75
353700,Luxurious Clothing Green #876,130,9.01
355600,Delicious Pet Food Black #709,DSF,26.89
369400,Elegant Outdoor Gear Yellow #175,60,0.4
389300,Long-Lasting Outdoor Gear Navy #955,60,0.61
395600,Durable Productivity Orange #810,31,96.99
396300,Elegant Mens Watches White #959,69,0.11
396400,Powerful Mens Watches Magenta #749,69,0.14
400500,Useful Home Decor Maroon #975,FR,12.7
403800,Long-Lasting Grocery Items Silver #326,ELE,98.38
407000,Fun Electronics Maroon #937,27,180.93
417100,Durable Health and Wellness Red #776,DAL,3.97
419200,Sustainable Furniture Yellow #666,67,9.35
419400,Beautiful Creativity Brown #593,DESA,7.95
424500,Durable Outdoor Gear Black #378,60,1.51
439000,Practical Kitchenware Gold #633,150,67.39
447400,Practical Furniture Magenta #225,67,0.22
449400,Stylish Kitchenware Blue #136,150,383.92
464100,Delicious Mens Watches Gray #185,69,0.12
468400,Delicious Clothing Yellow #768,130,76.18
468600,High-Quality Clothing Lime #658,130,76.18
473100,Long-Lasting Clothing Red #705,130,31.08
473200,Modern Clothing White #451,130,16.46
477500,Eco-Friendly Pet Food Blue #276,DSF,18.18
478700,Sustainable Kitchenware Magenta #878,150,43.32
489800,Eco-Friendly Kitchenware Yellow #780,150,132.62
491000,High-Quality Bedding Maroon #496,74,25.96
496700,Practical Electronics Brown #439,27,136.1
498600,Practical Outdoor Gear Teal #503,60,1.19
504001,Delicious Outdoor Gear Maroon #458,60,3.51
508000,Innovative Clothing Teal #290,130,28.6
508400,Long-Lasting Clothing Yellow #271,130,31.5
508500,Innovative Clothing Orange #313,130,11.17
508600,Long-Lasting Clothing Silver #378,130,20.01
509100,Long-Lasting Clothing Lime #939,130,23.1
509200,Luxurious Clothing Orange #302,130,23.41
509700,Practical Kitchenware Orange #304,150,129.46
514800,Elegant Clothing Magenta #593,130,19.94
518500,Elegant Clothing Maroon #444,130,38.27
518600,Powerful Clothing Magenta #9,130,30.57
518800,Versatile Clothing Gray #734,130,11.84
518900,Practical Clothing Olive #328,130,23.26
519100,Beautiful Clothing White #941,130,27.87
519200,Innovative Clothing Lime #510,130,12.73
519300,Modern Clothing Yellow #660,130,10.1
519700,Eco-Friendly Clothing Brown #689,130,19.57
519800,Delicious Clothing Brown #64,130,19.86
520000,Luxurious Clothing Blue #198,130,27.37
520200,Practical Clothing Orange #476,130,23.15
520300,Eco-Friendly Clothing Brown #810,130,20.73
521200,Comfortable Movies Cyan #908,DAV,10.2
521500,Beautiful Movies Pink #956,DAV,8.28
528700,Modern Clothing Silver #322,130,23.87
529600,Sophisticated Clothing Red #371,130,43.28
531200,Innovative Clothing Lime #470,130,12.23
534000,Modern Consoles Olive #69,CBE,1570.77
534400,Luxurious Clothing White #920,130,25.77
534600,High-Quality Rings Black #825,DLR,11.54
538800,Beautiful Clothing Gray #473,130,21.4
539100,Versatile Clothing Orange #749,130,19.1
539700,High-Quality Construction Equipment White #912,DFM,4.66
546700,Useful Kitchenware Red #322,150,175.83
549100,Durable Clothing Green #929,130,28.85
549300,High-Quality Clothing Cyan #403,130,9.57
549500,Delicious Clothing Navy #335,130,27.97
549700,Practical Clothing Cyan #8,130,51.57
565100,Beautiful Marine Supplies Orange #204,FXA,80.91
571200,Innovative Earrings Purple #87,22,354.13
574500,Long-Lasting Clothing Black #103,130,26.95
584100,Eco-Friendly Kitchenware Gray #404,150,807.29
584400,Delicious Books Purple #46,26,81.24
584500,Delicious Books Gray #488,26,61.72
588700,Delicious Kitchenware Silver #633,150,95.31
589600,Modern Bedding Silver #733,74,36.08
589800,Long-Lasting Construction Equipment Yellow #823,DFM,2.64
612600,Delicious Outdoor Gear Red #282,60,20.01
617800,Versatile Clothing Green #95,130,15.15
619800,Sustainable Collectibles Green #916,75,383.04
629100,Practical Kitchenware Gray #351,150,47.17
638700,Fun Clothing Navy #435,130,23.38
640000,Versatile Books Maroon #582,49,57.45
641400,Modern Clothing Yellow #117,130,76.18
643900,Luxurious Furniture Green #208,67,10.0
645400,Useful Rings Purple #398,DLR,8.86
648800,Luxurious Bedding Cyan #207,74,13.8
653200,Elegant Outdoor Gear Purple #498,60,1.66
659900,Sophisticated Creativity Black #685,DESA,9.82
662900,Sustainable Ebooks White #26,0,255.89
682700,Comfortable Outdoor Gear Purple #524,60,0.22
688900,High-Quality Grocery Items White #374,ELE,86.07
691000,Beautiful Outdoor Gear White #329,60,13.4
691400,Useful Clothing Maroon #650,130,12.83
699700,Delicious Outdoor Gear Blue #339,60,1.81
700000,Elegant Flooring Pink #63,AL,70.92
702000,Long-Lasting Toys Orange #742,42,2617.71
704400,Fun Clothing Orange #433,130,16.18
706300,Delicious Musical Instruments Teal #352,52,128.39
714400,High-Quality Movies White #365,DAV,8.33
716400,Beautiful Clothing Gray #359,130,22.03
718200,Beautiful Streaming Services Lime #991,ENT,58.54
723500,Eco-Friendly Clothing Cyan #423,130,18.5
723600,Beautiful Outdoor Gear Navy #840,60,12.37
731900,Eco-Friendly Consoles Maroon #559,CBE,979.77
745300,Beautiful Furniture Silver #399,67,0.78
745500,Eco-Friendly Furniture Gray #389,67,0.47
745501,Eco-Friendly Furniture Green #855,67,8.8
748100,Comfortable Furniture Blue #992,67,0.37
748800,High-Quality Furniture Magenta #136,67,0.49
752100,Elegant Clothing Silver #183,130,11.05
755100,Innovative Outdoor Gear Blue #159,60,11.04
757800,High-Quality Home Decor Red #93,FR,12.7
758300,Versatile Home Decor Navy #228,FR,16.63
771900,Powerful Clothing Magenta #912,130,76.18
772000,Beautiful Clothing Black #885,130,76.18
780100,Delicious Outdoor Gear Black #135,60,16.85
782400,Fun Electronics Gold #69,27,136.1
782500,High-Quality Electronics Teal #283,27,136.1
782600,Practical Electronics Silver #691,27,129.98
782601,Eco-Friendly Electronics Cyan #35,27,150.68
782800,High-Quality Electronics Orange #550,27,136.1
783700,Luxurious Electronics Blue #551,27,133.42
783900,Sophisticated Electronics Gray #739,27,133.42
784000,Innovative Electronics White #867,27,133.42
784200,Delicious Electronics Red #519,27,133.42
784500,Practical Pet Food Purple #697,DSF,17.65
784600,Luxurious Pet Food White #390,DSF,20.67
785900,Sustainable Movies Black #552,DAV,14.36
786800,Elegant Kitchenware Blue #824,150,96.27
789100,Eco-Friendly Clothing Magenta #105,130,41.77
792300,Innovative Musical Instruments Pink #296,52,32.94
792600,Practical Ebooks Orange #662,0,73.59
794100,Luxurious Outdoor Gear Olive #938,60,12.37
799200,Fun Collectibles Brown #128,75,474.24
799300,Fun Electronics Pink #319,27,146.63
800800,Long-Lasting Health and Wellness White #765,DAL,1.17
802500,Comfortable Bedding Gray #157,74,17.74
807600,Comfortable Pet Food Black #738,DSF,17.65
816100,Delicious Clothing Magenta #845,130,61.71
824500,Modern Books Pink #67,26,225.83
832800,Sustainable Grocery Items Cyan #815,ELE,201.14
838200,Modern Outdoor Gear Black #317,60,19.02
853400,Beautiful Lighting Red #401,17,45.21
853600,High-Quality Lighting Brown #133,17,27.56
853700,Beautiful Lighting Cyan #491,17,16.4
859700,Modern Lighting Navy #421,17,23.89
859800,Practical Lighting Navy #964,17,20.11
869700,Powerful Lighting Yellow #229,17,15.4
869900,Modern Books White #322,49,38.65
870200,Beautiful Books Olive #386,49,38.65
870300,Durable Books Gold #349,49,38.65
870500,Beautiful Books Silver #226,49,38.65
872300,Useful Books Yellow #111,49,55.2
872400,Useful Books Teal #926,49,55.2
872500,Useful Books Yellow #378,49,55.19
888900,High-Quality Books Navy #465,26,46.27
889900,Durable Bracelets Orange #582,63,461.9
891400,Eco-Friendly Electronics Purple #825,27,127.28
901300,Practical Books Brown #76,49,69.43
903600,Eco-Friendly Books Gold #428,26,126.77
920100,Fun Bracelets Gold #630,63,317.36
932300,Fun Books Lime #878,49,58.27
937500,Delicious Flooring Silver #877,AL,25.55
944400,Versatile Flooring Pink #640,AL,65.19
946000,Durable Electronics Black #658,27,146.63
954200,High-Quality Bracelets Red #710,63,340.23
955200,Luxurious Electronics Magenta #449,27,185.08
956700,Sustainable Entertainment Cyan #25,DET,10.69
957300,Practical Womens Watches Purple #846,ALD,427.87
957900,Useful Electronics Brown #433,27,133.42
964800,High-Quality Gaming Accessories Red #18,34,1727.15
967400,Stylish Kitchenware Blue #38,150,90.8
985500,Long-Lasting Electronics Red #273,27,165.87
985600,Modern Electronics Purple #312,27,178.61
986801,Comfortable Tires and Wheels Teal #15,MCAT,55.73
987000,High-Quality Tires and Wheels Gray #971,MCAT,77.54
987300,High-Quality Tires and Wheels Olive #437,MCAT,104.68
991900,Long-Lasting Musical Instruments Gray #298,52,37.59
992000,Practical Musical Instruments Lime #952,52,22.98
994400,Long-Lasting Sports Equipment White #879,MCT,51.91
994901,Powerful Sports Equipment Olive #980,MCT,61.07
995200,Long-Lasting Sports Equipment Cyan #666,MCT,74.15
995400,Powerful Sports Equipment Yellow #37,MCT,74.15
995600,Beautiful Sports Equipment Blue #513,MCT,74.15
995900,Versatile Sports Equipment Yellow #623,MCT,74.15
997101,Sustainable Sports Equipment Maroon #722,MCT,45.63
997200,Eco-Friendly Sports Equipment Black #739,MCT,45.63
997600,High-Quality Sports Equipment Orange #148,MCT,45.63
1003800,Sustainable Marine Supplies Yellow #42,FXA,118.15
1004100,Delicious Marine Supplies Silver #503,FXA,170.04
1013700,Fun Ebooks Lime #461,0,255.84
1015700,Elegant Household Goods Red #678,1,235.93
1018500,Comfortable Books Orange #419,26,128.41
1031400,Stylish Electronics Red #868,27,187.49
1036200,Fun Marine Supplies Navy #371,FXA,44.85
1054200,Delicious Bedding Silver #904,74,31.42
1063000,Durable Books Black #300,49,64.8
1067000,Sophisticated Arts and Crafts Olive #154,190,47.47
1067400,Delicious Arts and Crafts Navy #280,190,13.67
1067500,Sustainable Arts and Crafts Lime #412,190,14.74
1069000,High-Quality Arts and Crafts Teal #257,190,10.42
1070600,Versatile Electronics Brown #327,27,165.87
1071000,Durable Electronics Magenta #34,27,180.93
1080800,Luxurious Sports Equipment Olive #924,MCT,61.06
1085500,Powerful Electronics Olive #224,27,158.88
1085501,Luxurious Electronics Black #140,27,148.75
1085502,Elegant Electronics Black #436,27,148.75
1085503,Luxurious Electronics Red #367,27,148.75
1085504,Stylish Electronics Yellow #93,27,125.64
1085505,Elegant Electronics Pink #424,27,134.62
1085506,Durable Electronics Navy #250,27,148.75
