codigo_produto,valor_monetario_total,quantidade,codigo_familia,custo_produto_unitario,descricaoproduto,descricaofamilia,lucro_produto
400,50904.47,30570,74,0.7,High-Quality Bedding Magenta #374,Bedding,29505.47
245800,5492.45,115,74,24.73,Delicious Bedding White #541,Bedding,2648.4999999999995
491000,19624.39,351,74,25.96,High-Quality Bedding Maroon #496,Bedding,10512.429999999998
560200,106980.66,101804,74,0.5,Fun Bedding Gold #556,Bedding,56078.66
589600,12397.59,166,74,36.08,Modern Bedding Silver #733,Bedding,6408.31
629900,7.95,1,74,7.95,Beautiful Bedding Gray #410,Bedding,0.0
648800,187806.2,6500,74,13.8,Luxurious Bedding Cyan #207,Bedding,98106.20000000001
802500,128531.98,3427,74,17.74,Comfortable Bedding Gray #157,Bedding,67737.0
1032300,129889.36,3874,74,15.77,Stylish Bedding Maroon #725,Bedding,68796.38
1054200,10136.32,182,74,31.42,Delicious Bedding Silver #904,Bedding,4417.879999999999
1127900,48110.55,21619,74,1.02,Stylish Bedding Yellow #709,Bedding,26059.170000000002
2589800,8.5,1,74,6.65,Modern Bedding Black #263,Bedding,1.8499999999999996
2728301,15.9,1,74,13.06,Practical Bedding Maroon #129,Bedding,2.84
2741200,1200.07,51,74,12.01,Elegant Bedding Blue #669,Bedding,587.56
2741201,1466.31,85,74,9.4,Fun Bedding Teal #871,Bedding,667.31
2800500,165.0,2,74,35.0,Comfortable Bedding Teal #242,Bedding,95.0
2800600,131.25,3,74,17.5,Innovative Bedding Navy #609,Bedding,78.75
2961300,254.95,4,74,29.92,High-Quality Bedding Navy #636,Bedding,135.26999999999998
15300,3557.18,127,130,13.05,Luxurious Clothing Red #141,Clothing,1899.8299999999997
242600,14315.48,688,130,9.01,Luxurious Clothing Orange #520,Clothing,8116.599999999999
332800,2623.55,25,130,54.32,Durable Clothing Purple #265,Clothing,1265.5500000000002
347100,16.25,1,130,7.75,Beautiful Clothing Purple #71,Clothing,8.5
353700,10708.03,529,130,9.01,Luxurious Clothing Green #876,Clothing,5941.740000000001
468400,350.0,2,130,76.18,Delicious Clothing Yellow #768,Clothing,197.64
468500,1051.0,7,130,76.18,Luxurious Clothing Brown #164,Clothing,517.74
468600,525.0,3,130,76.18,High-Quality Clothing Lime #658,Clothing,296.46
471100,3925.01,105,130,16.77,Sophisticated Clothing Teal #792,Clothing,2164.1600000000003
473100,1363.96,22,130,31.08,Long-Lasting Clothing Red #705,Clothing,680.2
473200,5564.11,153,130,16.46,Modern Clothing White #451,Clothing,3045.7299999999996
479400,13124.05,579,130,10.12,Innovative Clothing Olive #426,Clothing,7264.57
479500,1769.25,26,130,31.82,Long-Lasting Clothing Magenta #646,Clothing,941.93
507600,717.25,55,130,6.67,Stylish Clothing Orange #516,Clothing,350.4
507700,3058.75,73,130,19.1,Fun Clothing Black #940,Clothing,1664.4499999999998
507800,4733.82,127,130,16.93,Sustainable Clothing Olive #743,Clothing,2583.7099999999996
508000,4116.77,69,130,28.6,Innovative Clothing Teal #290,Clothing,2143.3700000000003
508100,765.95,16,130,23.22,Comfortable Clothing Gold #387,Clothing,394.43000000000006
508400,1551.09,24,130,31.5,Long-Lasting Clothing Yellow #271,Clothing,795.0899999999999
508500,6443.66,262,130,11.17,Innovative Clothing Orange #313,Clothing,3517.12
508600,6591.86,151,130,20.01,Long-Lasting Clothing Silver #378,Clothing,3570.3499999999995
508900,3463.31,36,130,54.32,Practical Clothing Purple #775,Clothing,1507.79
509000,3908.81,90,130,20.78,Luxurious Clothing White #696,Clothing,2038.61
509100,13144.79,268,130,23.1,Long-Lasting Clothing Lime #939,Clothing,6953.990000000001
509200,7055.31,138,130,23.41,Luxurious Clothing Orange #302,Clothing,3824.7300000000005
513600,3073.47,139,130,10.03,Versatile Clothing Black #900,Clothing,1679.3
513700,4138.55,172,130,11.31,Stylish Clothing Blue #265,Clothing,2193.23
513800,3545.84,82,130,20.82,Useful Clothing Purple #900,Clothing,1838.6000000000001
514800,9628.48,221,130,19.94,Elegant Clothing Magenta #593,Clothing,5221.739999999999
518500,694.0,11,130,38.27,Elegant Clothing Maroon #444,Clothing,273.03
518600,1999.95,30,130,30.57,Powerful Clothing Magenta #9,Clothing,1082.85
518700,2276.91,92,130,12.04,Beautiful Clothing Olive #322,Clothing,1169.23
518800,1355.84,55,130,11.84,Versatile Clothing Gray #734,Clothing,704.6399999999999
518900,1350.83,29,130,23.26,Practical Clothing Olive #328,Clothing,676.2899999999998
519000,5322.96,86,130,27.42,Useful Clothing Brown #370,Clothing,2964.8399999999997
519100,2733.81,44,130,27.87,Beautiful Clothing White #941,Clothing,1507.53
519200,2842.73,99,130,12.73,Innovative Clothing Lime #510,Clothing,1582.46
519300,5145.15,223,130,10.1,Modern Clothing Yellow #660,Clothing,2892.85
519500,1310.55,19,130,33.4,Comfortable Clothing Purple #32,Clothing,675.9499999999999
519700,2178.91,48,130,19.57,Eco-Friendly Clothing Brown #689,Clothing,1239.5499999999997
519800,790.08,17,130,19.86,Delicious Clothing Brown #64,Clothing,452.46000000000004
519900,4074.48,66,130,28.77,Sophisticated Clothing Red #836,Clothing,2175.66
520000,655.47,10,130,27.37,Luxurious Clothing Blue #198,Clothing,381.77000000000004
520200,1617.0,35,130,23.15,Practical Clothing Orange #476,Clothing,806.75
520300,2499.75,52,130,20.73,Eco-Friendly Clothing Brown #810,Clothing,1421.79
528700,684.0,14,130,23.87,Modern Clothing Silver #322,Clothing,349.82
528800,2641.46,52,130,23.54,Sustainable Clothing Olive #796,Clothing,1417.38
529600,2572.23,29,130,43.28,Sophisticated Clothing Red #371,Clothing,1317.11
531200,1026.55,45,130,12.23,Innovative Clothing Lime #470,Clothing,476.19999999999993
531201,177.79999999999998,7,130,16.69,High-Quality Clothing Black #459,Clothing,60.96999999999997
531202,43.7,2,130,11.55,Useful Clothing Yellow #611,Clothing,20.6
533900,1682.98,16,130,55.61,Fun Clothing Pink #490,Clothing,793.22
534400,2015.8,40,130,25.77,Luxurious Clothing White #920,Clothing,985.0
538700,4042.98,72,130,33.94,Practical Clothing Navy #594,Clothing,1599.3000000000002
538800,15441.67,323,130,21.4,Beautiful Clothing Gray #473,Clothing,8529.470000000001
539100,4017.06,91,130,19.1,Versatile Clothing Orange #749,Clothing,2278.96
544900,1472.38,21,130,32.13,Comfortable Clothing Navy #637,Clothing,797.6500000000001
549100,1458.98,23,130,28.85,Durable Clothing Green #929,Clothing,795.43
549300,1618.87,71,130,9.57,High-Quality Clothing Cyan #403,Clothing,939.3999999999999
549500,8007.91,137,130,27.97,Delicious Clothing Navy #335,Clothing,4176.02
549600,2886.8,61,130,30.54,Sustainable Clothing Black #589,Clothing,1023.8600000000001
549700,580.72,5,130,51.57,Practical Clothing Cyan #8,Clothing,322.87
550200,2149.95,30,130,38.84,Comfortable Clothing Silver #378,Clothing,984.7499999999998
556800,4796.41,89,130,25.47,High-Quality Clothing Pink #654,Clothing,2529.58
566500,6645.9,121,130,23.01,Modern Clothing Magenta #601,Clothing,3861.6899999999996
